Date, Open, High, Low, Close, Volume
05/22/23, 233.31, 233.87, 231.175, 231.28, 3987775
05/19/23, 234.00, 234.34, 231.94, 233.31, 5399403
05/18/23, 232.40, 234.149, 231.13, 233.60, 6621870
05/17/23, 232.73, 233.8892, 230.55, 232.65, 4990276
05/16/23, 232.56, 233.0988, 229.63, 230.47, 4289809
05/15/23, 231.19, 232.83, 230.55, 232.81, 2843284
05/12/23, 232.00, 232.73, 229.82, 231.38, 3432730
05/11/23, 230.75, 231.52, 228.27, 231.01, 3818035
05/10/23, 234.30, 234.81, 228.90, 231.27, 5245220
05/09/23, 231.08, 234.09, 230.821, 233.26, 4352067
05/08/23, 231.25, 233.45, 231.25, 232.23, 2938546
05/05/23, 228.34, 232.34, 227.29, 231.78, 6237483
05/04/23, 224.84, 226.055, 223.48, 225.60, 5648862
05/03/23, 226.98, 228.67, 225.92, 225.98, 4093320
05/02/23, 231.95, 232.37, 226.21, 226.98, 5244016
05/01/23, 232.87, 234.59, 231.51, 232.51, 4571070
04/28/23, 228.65, 233.5727, 228.06, 232.73, 11627880
04/27/23, 228.67, 229.63, 226.61, 229.01, 7128188
04/26/23, 231.22, 232.77, 226.72, 228.15, 8400370
04/25/23, 233.02, 235.02, 229.425, 229.59, 6076450
04/24/23, 234.23, 235.15, 231.51, 232.76, 9124050
04/21/23, 235.00, 235.568, 233.38, 234.05, 6771589
04/20/23, 232.46, 234.67, 231.50, 234.60, 4925659
04/19/23, 234.00, 234.06, 231.85, 232.57, 3833933
04/18/23, 233.75, 234.33, 231.69, 233.60, 4796178
04/17/23, 234.02, 234.05, 230.94, 233.48, 4865041
04/14/23, 232.99, 234.99, 232.24, 234.02, 9781266
04/13/23, 229.46, 232.84, 228.80, 232.69, 7615523
04/12/23, 229.93, 231.59, 227.33, 227.81, 4373002
04/11/23, 227.00, 229.135, 226.20, 228.45, 4513395
04/10/23, 225.56, 226.48, 224.32, 226.43, 4952351
04/06/23, 226.16, 226.73, 224.68, 225.99, 4285206
04/05/23, 226.78, 228.47, 226.55, 228.17, 4813750
04/04/23, 229.00, 230.05, 226.83, 227.66, 5254725
04/03/23, 225.23, 229.16, 224.12, 229.00, 6421512
03/31/23, 223.60, 225.84, 223.29, 225.46, 9508978
03/30/23, 223.92, 224.235, 221.21, 222.36, 5383945
03/29/23, 222.29, 223.55, 220.92, 223.30, 4482956
03/28/23, 222.82, 223.33, 218.65, 220.33, 6418581
03/27/23, 222.59, 224.08, 221.39, 221.81, 7211050
03/24/23, 220.67, 221.33, 218.25, 221.04, 4792394
03/23/23, 220.44, 225.25, 220.26, 222.59, 6427712
03/22/23, 222.50, 224.90, 219.92, 220.04, 6700556
03/21/23, 221.34, 222.505, 218.68, 221.95, 8971367
03/20/23, 217.00, 220.545, 216.84, 218.15, 9817486
03/17/23, 214.87, 218.66, 214.87, 217.39, 18801180
03/16/23, 215.17, 217.58, 208.76, 217.45, 13677050
03/15/23, 214.41, 216.91, 213.67, 216.37, 8372233
03/14/23, 218.00, 219.87, 216.04, 218.66, 7985583
03/13/23, 214.63, 217.85, 212.50, 214.47, 6810947
03/10/23, 219.03, 219.12, 215.48, 216.14, 6639144
03/09/23, 221.40, 224.37, 219.66, 220.01, 5066656
03/08/23, 221.96, 222.93, 221.18, 222.19, 4195134
03/07/23, 226.75, 227.38, 223.08, 223.17, 4386798
03/06/23, 223.93, 227.415, 223.69, 226.75, 5737589
03/03/23, 220.20, 224.015, 219.90, 223.77, 6055410
03/02/23, 217.89, 219.60, 217.09, 219.06, 5539467
03/01/23, 219.46, 220.27, 216.43, 218.36, 4792656
02/28/23, 220.00, 221.7731, 219.50, 219.94, 5385356
02/27/23, 220.73, 221.44, 219.341, 220.35, 4255459
02/24/23, 218.48, 220.24, 217.46, 219.55, 4414363
02/23/23, 221.56, 222.09, 218.9301, 221.13, 5533847
02/22/23, 220.41, 221.75, 219.45, 220.02, 4621995
02/21/23, 220.16, 222.44, 219.99, 220.62, 7276091
02/17/23, 224.18, 224.7719, 221.74, 223.56, 4520303
02/16/23, 226.07, 228.36, 225.67, 225.83, 3865852
02/15/23, 227.59, 229.07, 226.80, 228.92, 4407545
02/14/23, 228.67, 231.42, 227.17, 229.39, 4829396
02/13/23, 226.88, 229.83, 226.27, 228.88, 4946705
02/10/23, 228.96, 229.91, 226.16, 227.20, 4509889
02/09/23, 232.41, 232.475, 229.125, 229.35, 5238412
02/08/23, 230.34, 231.86, 229.99, 230.20, 4978585
02/07/23, 228.02, 232.13, 227.95, 231.32, 4042815
02/06/23, 228.70, 230.26, 228.035, 229.44, 3402356
02/03/23, 228.69, 230.86, 227.64, 230.13, 5243645
02/02/23, 233.96, 234.30, 228.37, 229.56, 7189990
02/01/23, 229.37, 232.66, 227.80, 230.90, 5792650
01/31/23, 228.81, 230.80, 228.445, 230.21, 11294210
01/30/23, 230.20, 230.42, 227.93, 229.10, 5677404
01/27/23, 228.00, 232.84, 227.25, 231.44, 11382640
01/26/23, 226.00, 227.08, 223.67, 224.71, 7043444
01/25/23, 221.62, 224.97, 221.17, 224.90, 4729630
01/24/23, 222.02, 230.00, 216.63, 223.89, 5274934
01/23/23, 224.60, 226.20, 223.1538, 224.18, 5501462
01/20/23, 221.14, 224.43, 220.41, 224.31, 5210962
01/19/23, 218.10, 221.52, 217.50, 220.41, 4853085
01/18/23, 224.08, 224.99, 219.44, 219.46, 6558014
01/17/23, 222.38, 224.40, 222.37, 223.00, 6101118
01/13/23, 221.91, 223.755, 220.14, 223.06, 4283182
01/12/23, 222.10, 223.81, 220.61, 223.62, 4264404
01/11/23, 221.29, 222.18, 219.70, 222.10, 5408193
01/10/23, 218.99, 222.39, 218.18, 221.09, 10857020
01/09/23, 219.07, 222.21, 218.35, 218.60, 6294533
01/06/23, 214.00, 218.14, 213.09, 217.75, 6829695
01/05/23, 213.80, 214.16, 210.46, 211.11, 5246222
01/04/23, 209.62, 213.20, 209.62, 212.61, 6606249
01/03/23, 209.28, 212.325, 206.16, 207.39, 4202971
12/30/22, 206.31, 208.04, 205.70, 207.76, 4159463
12/29/22, 205.95, 208.53, 205.50, 208.06, 3675605
